affiliate_product_row_id,affiliate_product_id,name,brand,retailer,department,category,category_level_1,category_level_2,category_level_3,category_path,description,availability,affiliate_condition,price_currency,price_msrp,price_sale,size,original_color,primary_hex_color,primary_color_family,material,pattern,original_product_category,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
54,WIPEYS-9055674,Hand Wipes,WIPEYS,Shopbop,UNISEX,Skincare,Beauty,Skincare,,Beauty > Skincare,"A structured skincare beauty pick from WIPEYS. It is cut from cotton fabric, in green. Styled for everyday.",IN_STOCK,NEW,USD,24,18,One Size,Green,#338A4C,Green,Cotton,Solid,Beauty > Skincare,Green,,Cotton,Solid,Everyday,,,,,,,,,,,,,,hand-wipes.jpg
55,JENNY-BIRD-7068658,Henry Anklet,Jenny Bird,Shopbop,WOMEN,Anklets,Jewelry,Anklets,,Jewelry > Anklets,"A relaxed anklet from Jenny Bird. It is cut from leather fabric, in high polish gold.",OUT_OF_STOCK,USED,USD,120,72,One Size,High Polish Gold,#CCA746,Gold,Leather,,Jewelry > Anklets,Gold,,Leather,,,,,,,,,,,,,,,,henry-anklet.jpg
56,VINCE-4205748,High Waist Pleat Front Shorts,Vince,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"This versatile tailored bottoms by Vince is a closet staple. It is cut from cotton fabric, in amber wave, sleeveless sleeves. Styled for everyday.",IN_STOCK,NEW,USD,325,243.75,0,Amber Wave,#C5A27C,Tan,Cotton,Solid,Bottoms > Shorts > Tailored,Tan,0,Cotton,Solid,Everyday,,Sleeveless,,Short,High,,,,,,,Zipper,,high-waist-pleat-front-shorts.jpg
57,VINCE-4205748-01,High Waist Pleat Front Shorts - Black,Vince,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"Vince's elevated take on the tailored bottoms. It is cut from suiting fabric, in black, a short length. Styled for everyday.",OUT_OF_STOCK,USED,USD,325,276.25,0,Black,#14201B,Black,Suiting,Solid,Bottoms > Shorts > Tailored,Black,0,Suiting,Solid,Everyday,,,,Short,High,Short (<6 in),,,,,,,,high-waist-pleat-front-shorts.jpg
58,L-SPACE-2388003,Jackie Bikini Bottoms,L*Space,Shopbop,WOMEN,Bikinis,Bottoms,Swim,Bikinis,Bottoms > Swim > Bikinis,"An easy-wearing bikini from L*Space. It is cut from stretchy fabric, in black, sleeveless sleeves. Styled for vacation.",OUT_OF_STOCK,NEW,USD,99,99,S,Black,#171523,Black,Stretchy,Solid,Bottoms > Swim > Bikinis,Black,L,Stretchy,Solid,Vacation,,Sleeveless,,Short,High,Short (<6 in),,,,,,,,jackie-bikini-bottoms.jpg
59,EBERJEY-1899076,Jane Bikini Top,Eberjey,Shopbop,WOMEN,Bikinis,Tops,Swim,Bikinis,Tops > Swim > Bikinis,"A relaxed bikini from Eberjey. It is cut from knit fabric, in ecru/black, finished with a strapless neckline. Styled for vacation.",IN_STOCK,NEW,USD,108,108,S,Ecru/Black,#20181F,Black,Knit,Solid,Tops > Swim > Bikinis,Black,S,Knit,Solid,Vacation,Strapless,Sleeveless,,Bra,Mid,,,,,,,,,jane-bikini-top.jpg
60,A-P-C-4016692,Jay Knit Polo,A.P.C.,Nordstrom,WOMEN,Polos,Tops,Polos,,Tops > Polos,"An understated polo from A.P.C.. It is cut from knit fabric, in baa beige, finished with a collared neckline. Styled for everyday.",IN_STOCK,NEW,USD,176.99,176.99,Size Medium,BAA BEIGE,#F2E7D6,Cream,Knit,Solid,Tops > Polos,Cream,,Knit,Solid,Everyday,Collared,Short,Cuffed,Mid,,,,,,,,,,jay-knit-polo.jpg
61,NATION-LTD-0463926,Joss Sweatshirt with Draped Sleeves,Nation LTD,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"A polished pullover from Nation LTD. It is cut from cotton fabric, in barbie, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,163,130.4,XS,Barbie,#F086AD,Pink,Cotton,Solid,Tops > Sweaters & Knits > Pullovers,Pink,XS,Cotton,Solid,Everyday,Crew,Long,Puffy,Mid,,,,,,,,,,joss-sweatshirt-with-draped-sleeves.jpg
62,SUNNYLIFE-8217377,Lie On Surfboard,SunnyLife,Shopbop,WOMEN,Swim,Bottoms,Swim,,Bottoms > Swim,"A relaxed swim bottoms from SunnyLife. It is cut from swim fabric, in pink, finished with a scoop neckline. Styled for vacation.",IN_STOCK,NEW,USD,60,48,One Size,Pink,#F086AF,Pink,Swim,Solid,Bottoms > Swim,Pink,,Swim,Solid,Vacation,Scoop,Sleeveless,Capped,Midi,Mid,Regular (30 in - 33 in),Straight Leg,Ankle,Flat (<1 in),Flat,Round,Zipper,Base,lie-on-surfboard.jpg
63,VICTORIA-BEC-1667337,Lightweight Cashmere Blend Striped Polo,Victoria Beckham,Shopbop,WOMEN,Polos,Tops,Polos,,Tops > Polos,"A refined polo from Victoria Beckham. It is cut from cotton fabric, in a stripe print, finished with a collared neckline. Styled for everyday.",IN_STOCK,REFURBISHED,USD,750,750,S,Black/White,#F4F3F1,White,Cotton,Stripe,Tops > Polos,White,S,Cotton,Stripe,Everyday,Collared,Long,,,,,,,,,,Button,,lightweight-cashmere-blend-striped-polo.jpg
64,RACHEL-COMEY-1717078,Linberg Shorts,Rachel Comey,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"A laid-back tailored bottoms from Rachel Comey. It is cut from cotton fabric, in black, a short length. Styled for everyday.",BACKORDER,NEW,USD,450,382.5,0,Black,#231C18,Black,Cotton,Solid,Bottoms > Shorts > Tailored,Black,0,Cotton,Solid,Everyday,,,,Short,Mid,Short (<6 in),,,,,,Zipper,,linberg-shorts.jpg
65,FRANKIES-BIK-1523827,Lou Gingham Shorts,Frankies Bikinis,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"This relaxed tailored bottoms by Frankies Bikinis is a closet staple. It is cut from cotton fabric, in a plaid print, sleeveless sleeves. Styled for vacation.",IN_STOCK,NEW,USD,115,115,S,Pink Picnic,#EC8FAB,Pink,Cotton,Plaid,Bottoms > Shorts > Tailored,Pink,L,Cotton,Plaid,Vacation,,Sleeveless,,Short,High,Short (<6 in),,,,,,,,lou-gingham-shorts.jpg
66,FRANKIES-BIK-7335496,Lou Gingham Top,Frankies Bikinis,Shopbop,WOMEN,Button Downs,Tops,Button Downs,,Tops > Button Downs,"Frankies Bikinis' easy-wearing take on the button down. It is cut from cotton fabric, in a check print, finished with a collared neckline. Styled for lounge.",IN_STOCK,NEW,USD,145,145,S,Pink Picnic,#EB93AB,Pink,Cotton,Check,Tops > Button Downs,Pink,S,Cotton,Check,Lounge,Collared,Short,,Short,,,,,,,,Button,,lou-gingham-top.jpg
67,FARM-RIO-6774826,Louise Floral Blouse,FARM Rio,Shopbop,WOMEN,Blouses,Tops,Blouses,,Tops > Blouses,"FARM Rio's versatile take on the blouse. It is cut from cotton fabric, in a floral print, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,195,195,XS,Multi,#FEFCFD,White,Cotton,Floral,Tops > Blouses,White,XS,Cotton,Floral,Everyday,Crew,Short,Puffy,Midi,,,,,,,,,,louise-floral-blouse.jpg
68,LESLIE-AMON-2372987,Luna Bikini Bottoms,Leslie Amon,Shopbop,WOMEN,Bikinis,Bottoms,Swim,Bikinis,Bottoms > Swim > Bikinis,"A polished bikini from Leslie Amon. It is cut from swim fabric, in a check print, sleeveless sleeves. Styled for vacation.",IN_STOCK,NEW,USD,53,47.7,XS,Black Vichy,#211B1F,Black,Swim,Check,Bottoms > Swim > Bikinis,Black,L,Swim,Check,Vacation,,Sleeveless,,Short,High,Short (<6 in),,,,,,,,luna-bikini-bottoms.jpg
69,GIA-BORGHINI-7416676,Luna Short Puffy Boots,Gia Borghini,Shopbop,WOMEN,Boots & Booties,Footwear,Boots & Booties,,Footwear > Boots & Booties,"This versatile boots & booties by Gia Borghini is a closet staple. It is cut from knit fabric, in black, a low (1 in - 2 in) heel. Styled for everyday.",IN_STOCK,REFURBISHED,USD,475,427.5,37.5,Black,#1B1D1F,Black,Knit,Solid,Footwear > Boots & Booties,Black,37.5,Knit,Solid,Everyday,,,,,,,,Ankle,Low (1 in - 2 in),Flat,Round,Zipper,,luna-short-puffy-boots.jpg
70,GIA-BORGHINI-7416676-01,Luna Short Puffy Boots - Black,Gia Borghini,Shopbop,WOMEN,Boots & Booties,Footwear,Boots & Booties,,Footwear > Boots & Booties,"This structured boots & booties by Gia Borghini is a closet staple. It is cut from knit fabric, in black, a flat (<1 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,475,403.75,38.5,Black,#1C1C17,Black,Knit,Solid,Footwear > Boots & Booties,Black,38.5,Knit,Solid,Everyday,,,,,,,,Ankle,Flat (<1 in),Flat,Round,Zipper,,luna-short-puffy-boots.jpg
71,TANYA-TAYLOR-0590763,Madilyn Dress,Tanya Taylor,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"Tanya Taylor's relaxed take on the sundress. It is cut from cotton fabric, in a polkadot print, finished with a v-neck neckline. Styled for weekend.",IN_STOCK,NEW,USD,565,565,0,Sand/Black,#1E221A,Black,Cotton,Polkadot,Dresses > Sundresses,Black,0,Cotton,Polkadot,Weekend,V-Neck,Sleeveless,,Midi,Mid,,,,,,,,,madilyn-dress.jpg
72,AJE-9416502,Memento Cropped Blouse,Aje,Shopbop,WOMEN,Blouses,Tops,Blouses,,Tops > Blouses,"A laid-back blouse from Aje. It is cut from cotton fabric, in ivory/black, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,295,177,6,Ivory/Black,#F3F7ED,White,Cotton,Solid,Tops > Blouses,White,6,Cotton,Solid,Everyday,Crew,Long,Puffy,Cropped,High,,,,,,,,,memento-cropped-blouse.jpg
73,TIBI-9992392,Menswear Suiting Cutout Sleeve Marlon Blazer,Tibi,Shopbop,WOMEN,Blazers,Tops,Jackets & Coats,Blazers,Tops > Jackets & Coats > Blazers,"A relaxed blazer from Tibi. It is cut from suiting fabric, in a plaid print, finished with a collared neckline. Styled for work.",IN_STOCK,NEW,USD,695,695,0,White/Black Multi,#8D9390,Grey,Suiting,Plaid,Tops > Jackets & Coats > Blazers,Grey,0,Suiting,Plaid,Work,Collared,Long,Cuffed,,,,,,,,,Button,Outer,menswear-suiting-cutout-sleeve-marlon-blazer.jpg
74,AJE-4381340,Mimosa Cutout Midi Dress,Aje,Shopbop,WOMEN,Cocktail,Dresses,Cocktail,,Dresses > Cocktail,"Aje's polished take on the cocktail dress. It is cut from cotton fabric, in emerald, short sleeves. Styled for event.",OUT_OF_STOCK,NEW,USD,675,675,4,Emerald,#267E47,Green,Cotton,Solid,Dresses > Cocktail,Green,4,Cotton,Solid,Event,,Short,Puffy,Midi,Mid,,,,High (>3 in),Block,Open,,,mimosa-cutout-midi-dress.jpg
75,SANDY-LIANG-6573319,Misty Dress,Sandy Liang,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"An elevated slipdress from Sandy Liang. It is cut from stretchy fabric, in a floral print, finished with a v-neck neckline. Styled for everyday.",PREORDER,NEW,USD,395,316,XS,Black Tablecloth,#18231F,Black,Stretchy,Floral,Dresses > Slipdresses,Black,XS,Stretchy,Floral,Everyday,V-Neck,Sleeveless,,Midi,Mid,,,,,,,,,misty-dress.jpg
76,FREEDOM-MOSE-8813855,Moses Two Band Slides,Freedom Moses,Shopbop,WOMEN,Flip Flops,Footwear,Sandals,Flip Flops,Footwear > Sandals > Flip Flops,"A polished flip flop from Freedom Moses. It is cut from swim fabric, in black, a flat (<1 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,45,45,8-Jul,Black,#201719,Black,Swim,Solid,Footwear > Sandals > Flip Flops,Black,,Swim,Solid,Everyday,,,,,,,,,Flat (<1 in),Flat,Open,Buckle,,moses-two-band-slides.jpg
77,FREEDOM-MOSE-8813855-01,Moses Two Band Slides - Silverado,Freedom Moses,Shopbop,WOMEN,Flip Flops,Footwear,Sandals,Flip Flops,Footwear > Sandals > Flip Flops,"Freedom Moses' relaxed take on the flip flop. It is cut from swim fabric, in silverado, a flat (<1 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,50,42.5,7-Jun,Silverado,#C4C4C5,Silver,Swim,Solid,Footwear > Sandals > Flip Flops,Silver,,Swim,Solid,Everyday,,,,,,,,,Flat (<1 in),Flat,Open,Buckle,,moses-two-band-slides.jpg
78,FREEDOM-MOSE-8813855-02,Moses Two Band Slides - BAZ,Freedom Moses,Shopbop,WOMEN,Flip Flops,Footwear,Sandals,Flip Flops,Footwear > Sandals > Flip Flops,"This modern flip flop by Freedom Moses is a closet staple. It is cut from swim fabric, in baz, a flat (<1 in) heel. Styled for vacation.",IN_STOCK,NEW,USD,45,38.25,10-Sep,BAZ,#EC8CB6,Pink,Swim,Solid,Footwear > Sandals > Flip Flops,Pink,,Swim,Solid,Vacation,,,,,,,,,Flat (<1 in),Flat,Open,,,moses-two-band-slides.jpg
79,FREEDOM-MOSE-8813855-03,Moses Two Band Slides - Bali Sands,Freedom Moses,Shopbop,WOMEN,Flip Flops,Footwear,Sandals,Flip Flops,Footwear > Sandals > Flip Flops,"An easy-wearing flip flop from Freedom Moses. It is cut from knit fabric, in bali sands, a flat (<1 in) heel. Styled for vacation.",IN_STOCK,NEW,USD,55,41.25,9-Aug,Bali Sands,#CAA187,Tan,Knit,Solid,Footwear > Sandals > Flip Flops,Tan,,Knit,Solid,Vacation,,,,,,,,,Flat (<1 in),Flat,Open,,,moses-two-band-slides.jpg
80,PETITE-PLUME-2472433,Mulberry Silk Green Stripe Camisole Shorts Set,Petite Plume,Shopbop,WOMEN,Intimates,Tops,Intimates,,Tops > Intimates,"This polished intimate by Petite Plume is a closet staple. It is cut from stretchy fabric, in a stripe print, finished with a v-neck neckline. Styled for lounge.",IN_STOCK,NEW,USD,160,144,S,Green White,#348847,Green,Stretchy,Stripe,Tops > Intimates,Green,S,Stretchy,Stripe,Lounge,V-Neck,Sleeveless,,Short,Mid,,,,,,,,,mulberry-silk-green-stripe-camisole-shorts-set.jpg
81,MAISON-LOUIS-1960767,No.08 La Petite Louise Candle,Maison Louis Marie,Shopbop,UNISEX,Home,Home,,,Home,Maison Louis Marie's polished take on the home. It is in no color.,PREORDER,NEW,USD,34,23.8,One Size,No Color,,,,,Home,,,,,,,,,,,,,,,,,,,no-08-la-petite-louise-candle.jpg
82,MAISON-LOUIS-8956606,No.10 Aboukir Candle,Maison Louis Marie,Shopbop,UNISEX,Home,Home,,,Home,A laid-back home from Maison Louis Marie. It is in no color.,IN_STOCK,NEW,USD,34,34,One Size,No Color,,,,,Home,,,,,,,,,,,,,,,,,,,no-10-aboukir-candle.jpg
83,OLIVER-PEOPL-9456665,Op-13 Sun Sunglasses,Oliver Peoples Eyewear,Shopbop,UNISEX,Eyewear,Eyewear,,,Eyewear,"Oliver Peoples Eyewear's modern take on the eyewear. It is cut from knit fabric, in gravel - g-15 polar.",IN_STOCK,NEW,USD,584,496.4,One Size,Gravel - G-15 Polar,#868E8A,Grey,Knit,Solid,Eyewear,Grey,,Knit,Solid,,,,,,,,,,,,,,,op-13-sun-sunglasses.jpg
84,HANKY-PANKY-7802500,Original Rise Cotton Thong 3 Pack,Hanky Panky,Shopbop,WOMEN,Intimates,Bottoms,Intimates,,Bottoms > Intimates,"A relaxed intimate from Hanky Panky. It is cut from stretchy fabric, in plum wine rosita washed indigo. Styled for everyday.",IN_STOCK,NEW,USD,54,54,One Size,Plum Wine Rosita Washed Indigo,#7B43A5,Purple,Stretchy,Solid,Bottoms > Intimates,Purple,,Stretchy,Solid,Everyday,,,,,,,,,,,,,,original-rise-cotton-thong-3-pack.jpg
85,BA-SH-4203079,Osiris Shorts,Ba&sh,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"Ba&sh's understated take on the tailored bottoms. It is cut from cotton fabric, in a stripe print, a short length. Styled for everyday.",IN_STOCK,NEW,USD,185,185,0,Marine,#2F4BB6,Blue,Cotton,Stripe,Bottoms > Shorts > Tailored,Blue,0,Cotton,Stripe,Everyday,,,,Short,High,Short (<6 in),,,,,,,,osiris-shorts.jpg
86,BA-SH-4203079-01,Osiris Shorts - Marine,Ba&sh,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"Ba&sh's refined take on the tailored bottoms. It is cut from cotton fabric, in a stripe print, a short length. Styled for everyday.",IN_STOCK,NEW,USD,185,185,1,Marine,#2A49B4,Blue,Cotton,Stripe,Bottoms > Shorts > Tailored,Blue,,Cotton,Stripe,Everyday,,,,Short,High,Short (<6 in),,,,,,,,osiris-shorts.jpg
87,DENIMIST-5259120,Oversized Cropped Aran Sweater,Denimist,Shopbop,WOMEN,Pullovers,Tops,Sweaters & Knits,Pullovers,Tops > Sweaters & Knits > Pullovers,"This understated pullover by Denimist is a closet staple. It is cut from cotton fabric, in ecru, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,395,335.75,S,Ecru,#ECE0D1,Cream,Cotton,Solid,Tops > Sweaters & Knits > Pullovers,Cream,S,Cotton,Solid,Everyday,Crew,Long,Puffy,Cropped,,,,,,,,,,oversized-cropped-aran-sweater.jpg
88,SIMKHAI-1927382,Palma Tank Top,SIMKHAI,Shopbop,WOMEN,Tank Tops,Tops,Tank Tops,,Tops > Tank Tops,"This refined tank top by SIMKHAI is a closet staple. It is cut from stretchy fabric, in black, finished with a scoop neckline. Styled for everyday.",IN_STOCK,NEW,USD,195,136.5,S,Black,#1E1A1F,Black,Stretchy,Solid,Tops > Tank Tops,Black,S,Stretchy,Solid,Everyday,Scoop,Sleeveless,,Bra,,,,,,,,,,palma-tank-top.jpg
89,PARAJUMPERS-9629180,Panda Jacket,Parajumpers,Shopbop,WOMEN,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"Parajumpers' relaxed take on the puffers & parkas. It is cut from cotton fabric, in black, finished with a hooded neckline.",IN_STOCK,NEW,USD,794,674.9,S,Black,#1F2119,Black,Cotton,Solid,Tops > Jackets & Coats > Puffers & Parkas,Black,S,Cotton,Solid,,Hooded,Long,,Long,,,,,,,,Zipper,Outer,panda-jacket.jpg
90,ACNE-STUDIOS-0207416,Pansy N Face Hat,Acne Studios,Shopbop,WOMEN,Baseball,Hats,Baseball,,Hats > Baseball,"A versatile baseball hat from Acne Studios. It is cut from knit fabric, in grey melange. Styled for everyday.",IN_STOCK,NEW,USD,150,90,One Size,Grey Melange,#8C918B,Grey,Knit,Solid,Hats > Baseball,Grey,,Knit,Solid,Everyday,,,,,,,,,,,,,,pansy-n-face-hat.jpg
91,ACNE-STUDIOS-0207416-01,Pansy N Face Hat - Black,Acne Studios,Shopbop,WOMEN,Baseball,Hats,Baseball,,Hats > Baseball,"A refined baseball hat from Acne Studios. It is cut from cotton fabric, in black. Styled for everyday.",IN_STOCK,NEW,USD,150,105,One Size,Black,#141416,Black,Cotton,Solid,Hats > Baseball,Black,,Cotton,Solid,Everyday,,,,,,,,,,,,,,pansy-n-face-hat.jpg
92,GIRLFRIEND-C-8672036,Pocket Bike Shorts,Girlfriend Collective,Shopbop,WOMEN,Active,Bottoms,Shorts,Active,Bottoms > Shorts > Active,"This understated active bottoms by Girlfriend Collective is a closet staple. It is cut from stretchy fabric, in black, finished with a crew neckline. Styled for active.",OUT_OF_STOCK,NEW,USD,58,40.6,S,Black,#201E24,Black,Stretchy,Solid,Bottoms > Shorts > Active,Black,XL,Stretchy,Solid,Active,Crew,Sleeveless,Fitted,Short,High,Short (<6 in),Skinny,Ankle,Flat (<1 in),Block,Round,Button,Base,pocket-bike-shorts.jpg
93,STAUD-5443206,Prato Top,STAUD,Shopbop,WOMEN,Crop Tops,Tops,Crop Tops,,Tops > Crop Tops,"STAUD's understated take on the crop top. It is cut from cotton fabric, in wild orchid, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,195,165.75,S,Wild Orchid,#E591B0,Pink,Cotton,Solid,Tops > Crop Tops,Pink,S,Cotton,Solid,Everyday,Crew,Short,Puffy,Cropped,Mid,,,,,,,,,prato-top.jpg
94,LEE-MATHEWS-0895128,Preston Shorts,Lee Mathews,Shopbop,WOMEN,Tailored,Bottoms,Shorts,Tailored,Bottoms > Shorts > Tailored,"Lee Mathews' easy-wearing take on the tailored bottoms. It is cut from cotton fabric, in khaki, a short length. Styled for everyday.",IN_STOCK,NEW,USD,280,280,0,Khaki,#2B8941,Green,Cotton,Solid,Bottoms > Shorts > Tailored,Green,0,Cotton,Solid,Everyday,,,,Short,High,Short (<6 in),,,,,,,,preston-shorts.jpg
95,R13-2857220,R13 Square Shoulder Tweed Jacket,R13,Shopbop,WOMEN,Blazers,Tops,Jackets & Coats,Blazers,Tops > Jackets & Coats > Blazers,"This relaxed blazer by R13 is a closet staple. It is cut from knit fabric, in black tweed, finished with a collared neckline. Styled for everyday.",IN_STOCK,NEW,USD,1795,1077,XS,Black Tweed,#23231F,Black,Knit,Solid,Tops > Jackets & Coats > Blazers,Black,L,Knit,Solid,Everyday,Collared,Short,Puffy,Cropped,High,,,,,,,Button,Outer,r13-square-shoulder-tweed-jacket.jpg
96,VINCE-0739643,Ribbed V Neck Cardigan,Vince,Shopbop,WOMEN,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"Vince's easy-wearing take on the cardigan. It is cut from cotton fabric, in optic white, finished with a v-neck neckline. Styled for everyday.",IN_STOCK,NEW,USD,295,265.5,S,Optic White,#FDFAFC,White,Cotton,Solid,Tops > Sweaters & Knits > Cardigans,White,S,Cotton,Solid,Everyday,V-Neck,Long,,Cropped,,,,,,,,Button,,ribbed-v-neck-cardigan.jpg
97,LOVESHACKFAN-0132252,Robyn Dress,LoveShackFancy,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This versatile sundress by LoveShackFancy is a closet staple. It is cut from cotton fabric, in a floral print, finished with a square neckline. Styled for vacation.",IN_STOCK,NEW,USD,495,346.5,XS,Sailor Suit,#324CBC,Blue,Cotton,Floral,Dresses > Sundresses,Blue,XS,Cotton,Floral,Vacation,Square,Sleeveless,,Maxi,High,,,,,,,,,robyn-dress.jpg
98,AZEEZA-1296045,Rory Puff Sleeve Dress,Azeeza,Shopbop,WOMEN,Cocktail,Dresses,Cocktail,,Dresses > Cocktail,"An elevated cocktail dress from Azeeza. It is cut from knit fabric, in magenta, finished with a square neckline. Styled for event.",IN_STOCK,NEW,USD,995,995,XS,Magenta,#E994B5,Pink,Knit,Solid,Dresses > Cocktail,Pink,XS,Knit,Solid,Event,Square,Short,Puffy,Midi,Mid,,,,,,,,,rory-puff-sleeve-dress.jpg
99,WORTHY-THREA-3691814,Sage Tie Dye Hoodie,Worthy Threads,Shopbop,WOMEN,Sweatshirts,Tops,Sweatshirts,,Tops > Sweatshirts,"Worthy Threads' refined take on the sweatshirt. It is cut from cotton fabric, in olive green/white, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,198,168.3,S,Olive Green/White,#FCFDF1,White,Cotton,,Tops > Sweatshirts,White,S,Cotton,,Everyday,Crew,Long,,Mid,,,,,,,,,,sage-tie-dye-hoodie.jpg
100,WORTHY-THREA-9469900,Sage Tie Dye Joggers,Worthy Threads,Shopbop,WOMEN,Sweatpants,Bottoms,Pants,Sweatpants,Bottoms > Pants > Sweatpants,"This easy-wearing sweatpant by Worthy Threads is a closet staple. It is cut from cotton fabric, in olive green/white, an ankle length. Styled for lounge.",IN_STOCK,NEW,USD,138,103.5,S,Olive Green/White,#FAF0F9,White,Cotton,,Bottoms > Pants > Sweatpants,White,S,Cotton,,Lounge,,,,Ankle,Mid,Regular (30 in - 33 in),Jogger,,,,,,,sage-tie-dye-joggers.jpg
101,BAUM-UND-PFE-9100959,Savi Skirt,BAUM UND PFERDGARTEN,Shopbop,WOMEN,Skirts,Bottoms,Skirts,,Bottoms > Skirts,"BAUM UND PFERDGARTEN's polished take on the skirt. It is cut from cotton fabric, in black, a mini length. Styled for everyday.",OUT_OF_STOCK,NEW,USD,199,139.3,32,Black,#1D2223,Black,Cotton,Solid,Bottoms > Skirts,Black,32,Cotton,Solid,Everyday,,,,Mini,Mid,,,,Low (1 in - 2 in),,Pointed,,,savi-skirt.jpg
102,ORIBE-9026232,Shampoo for Moisture & Control,Oribe,Shopbop,UNISEX,Hair,Beauty,Hair,,Beauty > Hair,This polished hair beauty pick by Oribe is a closet staple. It is in no color.,IN_STOCK,NEW,USD,46,27.6,8.5 oz/250 mL,No Color,,,,,Beauty > Hair,,,,,,,,,,,,,,,,,,,shampoo-for-moisture-control.jpg
103,WHITE-WARREN-0762187,Silk Cashmere Crewneck Cardigan,White + Warren,Shopbop,WOMEN,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"A polished cardigan from White + Warren. It is cut from knit fabric, in chalk, finished with a crew neckline. Styled for everyday.",OUT_OF_STOCK,NEW,USD,250,250,S,Chalk,#F4FBF0,White,Knit,Solid,Tops > Sweaters & Knits > Cardigans,White,S,Knit,Solid,Everyday,Crew,Long,,Cropped,,,,,,,,Button,,silk-cashmere-crewneck-cardigan.jpg
104,AMO-3585784,Sleeveless Babe Tee,AMO,Shopbop,WOMEN,Tank Tops,Tops,Tank Tops,,Tops > Tank Tops,"An easy-wearing tank top from AMO. It is cut from cotton fabric, in white, finished with a scoop neckline. Styled for everyday.",IN_STOCK,USED,USD,95,66.5,S,White,#F3EFEE,White,Cotton,Solid,Tops > Tank Tops,White,S,Cotton,Solid,Everyday,Scoop,Sleeveless,,Cropped,,,,,,,,,,sleeveless-babe-tee.jpg
105,AMO-3585784-01,Sleeveless Babe Tee - Vintage Black,AMO,Shopbop,WOMEN,Tank Tops,Tops,Tank Tops,,Tops > Tank Tops,"A structured tank top from AMO. It is cut from cotton fabric, in vintage black, finished with a crew neckline. Styled for everyday.",IN_STOCK,NEW,USD,95,57,S,Vintage Black,#172424,Black,Cotton,Solid,Tops > Tank Tops,Black,S,Cotton,Solid,Everyday,Crew,Sleeveless,,Cropped,,,,,,,,,,sleeveless-babe-tee.jpg
106,MOTHER-2134661,Spirit Guide Crew Socks,MOTHER,Shopbop,UNISEX,Socks,Accessories,Socks,,Accessories > Socks,"MOTHER's easy-wearing take on the sock. It is cut from cotton fabric, in a graphic print. Styled for everyday.",IN_STOCK,NEW,USD,24,24,One Size,Spirit Guide,#F7FFF7,White,Cotton,Graphic,Accessories > Socks,White,,Cotton,Graphic,Everyday,,,,,,,,,,,Round,,,spirit-guide-crew-socks.jpg
107,ILLESTEVA-6417560,Stockholm Matte Black Sunglasses,Illesteva,Shopbop,UNISEX,Eyewear,Eyewear,,,Eyewear,An elevated eyewear from Illesteva. It is in matte black.,OUT_OF_STOCK,NEW,USD,260,221,One Size,Matte Black,#1F1A23,Black,,,Eyewear,Black,,,,,,,,,,,,,,,,,,stockholm-matte-black-sunglasses.jpg
