product_id,name,brand,retailer,category,category_level_1,category_level_2,category_level_3,category_path,description,size,original_color,primary_hex_color,primary_color_family,hex_colors,price_currency,price_msrp,price_paid,normalized_price_msrp,normalized_price_paid,perma_price_msrp,perma_price_paid,perma_original_color,perma_size,quantity,purchased_at,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
42,Paz Cover Up Sarong,Ulla Johnson,Shopbop,Swim,Bottoms,Swim,,Bottoms > Swim,"Ulla Johnson's laid-back take on the swim bottoms. It is cut from cotton fabric, in azul, sleeveless sleeves. Styled for vacation.",One Size,Azul,#2D7B40,Green,"[{""hex"":""#2D7B40"",""label"":""Green"",""shade"":""Mid"",""family"":""Green"",""coverage"":1.0,""role"":""primary""}]",USD,175,87.5,175,87.5,175,87.5,Azul,One Size,1,2021-03-03T11:29:00+00:00,Green,L,Cotton,,Vacation,,Sleeveless,,Midi,Mid,"Knee-Length Short (10""-18"")",,,,,,,,paz-cover-up-sarong.jpg
43,Peace Dress,Aje,Shopbop,Shirtdresses,Dresses,Shirtdresses,,Dresses > Shirtdresses,"Aje's refined take on the shirtdress. It is cut from cotton fabric, in black, finished with a collared neckline. Styled for everyday.",6,Black,#201F23,Black,"[{""hex"":""#201F23"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,495,247.5,495,247.5,495,247.5,Black,6,1,2020-10-18T20:56:10+00:00,Black,6,Cotton,Solid,Everyday,Collared,Short,Puffy,Midi,High,,,,High (>3 in),Block,Square,Button,,peace-dress.jpg
44,Pleated Georgette Top,GANNI,Shopbop,Tank Tops,Tops,Tank Tops,,Tops > Tank Tops,"A versatile tank top from GANNI. It is cut from stretchy fabric, in a animal print, finished with a square neckline. Styled for everyday.",36,Maxi Leopard,#C0A47A,Tan,"[{""hex"":""#C0A47A"",""label"":""Maxi Leopard"",""shade"":""Mid"",""family"":""Tan"",""coverage"":0.653,""role"":""primary""},{""hex"":""#765132"",""label"":""Brown"",""shade"":""Mid"",""family"":""Brown"",""coverage"":0.253,""role"":""accent""},{""hex"":""#211A24"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.095,""role"":""accent""}]",USD,115,57.5,115,57.5,115,57.5,Maxi Leopard,36,1,2021-05-05T14:18:10+00:00,Multi,36,Stretchy,Animal,Everyday,Square,Sleeveless,,Cropped,,,,,,,,,,pleated-georgette-top.jpg
45,R13 Crossover Jeans,R13,Shopbop,Jeans,Bottoms,Jeans,,Bottoms > Jeans,"An elevated jeans from R13. It is cut from stretchy fabric, in jasper blue, an ankle length. Styled for everyday.",25,Jasper Blue,#2C51B5,Blue,"[{""hex"":""#2C51B5"",""label"":""Jasper Blue"",""shade"":""Mid"",""family"":""Blue"",""coverage"":1.0,""role"":""primary""}]",USD,425,212.5,425,212.5,425,212.5,Jasper Blue,25,1,2021-09-10T12:21:00+00:00,Blue,25,Stretchy,Solid,Everyday,,,,Ankle,High,Cropped (<27 in),Wide Leg,,,,,,,r13-crossover-jeans.jpg
46,Reflective Impact Run Winter Jacket,New Balance,Shopbop,Puffers & Parkas,Tops,Jackets & Coats,Puffers & Parkas,Tops > Jackets & Coats > Puffers & Parkas,"New Balance's relaxed take on the puffers & parkas. It is cut from stretchy fabric, in a graphic print, finished with a hooded neckline. Styled for active.",S,Black,#14181B,Black,"[{""hex"":""#14181B"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,160,80,160,80,160,80,Black,S,1,2020-11-20T13:01:02+00:00,Black,XL,Stretchy,Graphic,Active,Hooded,Long,Cuffed,,Mid,,,,,,,Zipper,Outer,reflective-impact-run-winter-jacket.jpg
47,Short Sleeve Sweater Polo,Frame,Bergdorf Goodman,Polos,Tops,Polos,,Tops > Polos,"This modern polo by Frame is a closet staple. It is cut from cotton fabric, in navy, finished with a collared neckline. Styled for everyday.",M,Navy,#2857BC,Blue,"[{""hex"":""#2857BC"",""label"":""Navy"",""shade"":""Mid"",""family"":""Blue"",""coverage"":1.0,""role"":""primary""}]",USD,298,298,298,298,298,298,Navy,M,1,2024-06-27T22:23:12+00:00,Blue,M,Cotton,Solid,Everyday,Collared,Short,,Midi,,,,,,,,,,short-sleeve-sweater-polo.jpg
48,Slim Fit Capri,Vince,Bergdorf Goodman,Trousers,Bottoms,Pants,Trousers,Bottoms > Pants > Trousers,"This elevated trousers by Vince is a closet staple. It is cut from stretchy fabric, in black, an ankle length. Styled for everyday.",0,Black,#1D141E,Black,"[{""hex"":""#1D141E"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,245,245,245,245,245,245,Black,0,1,2024-06-27T22:23:12+00:00,Black,0,Stretchy,Solid,Everyday,,,,Ankle,High,Cropped (<27 in),Skinny,,,,,,,slim-fit-capri.jpg
49,Structured Jacquard Dress,GANNI,Shopbop,Cocktail,Dresses,Cocktail,,Dresses > Cocktail,"An easy-wearing cocktail dress from GANNI. It is cut from knit fabric, in a floral print, finished with a v-neck neckline. Styled for event.",32,Sharkskin,#90848E,Grey,"[{""hex"":""#90848E"",""label"":""Sharkskin"",""shade"":""Muted"",""family"":""Grey"",""coverage"":1.0,""role"":""primary""}]",USD,495,247.5,495,247.5,495,247.5,Sharkskin,32,1,2021-09-18T13:41:16+00:00,Grey,32,Knit,Floral,Event,V-Neck,Sleeveless,,Mini,Mid,,,,,,,,,structured-jacquard-dress.jpg
50,Summer Walk Calf,Loro Piana,Bergdorf Goodman,Boots & Booties,Footwear,Boots & Booties,,Footwear > Boots & Booties,"This polished boots & booties by Loro Piana is a closet staple. It is cut from leather fabric, in chocolate, a low (1 in - 2 in) heel. Styled for everyday.",42H/9H,Chocolate,#6C4D2C,Brown,"[{""hex"":""#6C4D2C"",""label"":""Chocolate"",""shade"":""Mid"",""family"":""Brown"",""coverage"":1.0,""role"":""primary""}]",USD,1025,871.25,1025,871.25,1025,871.25,Chocolate,42H/9H,1,2024-05-10T08:25:00+00:00,Brown,,Leather,Solid,Everyday,,,,,,,,Ankle,Low (1 in - 2 in),Block,Round,,,summer-walk-calf.jpg
51,Super Anti-Aging Eye Cream,Dr. Barbara Sturm,Shopbop,Skincare,Beauty,Skincare,,Beauty > Skincare,This modern skincare beauty pick by Dr. Barbara Sturm is a closet staple. It is in no color.,0.5 oz/15 mL,No Color,,,[],USD,210,210,210,210,210,210,No Color,0.5 oz/15 mL,1,2024-01-22T20:07:51+00:00,,,,,,,,,,,,,,,,,,,super-anti-aging-eye-cream.jpg
52,The Liam Cardigan,KULE,Shopbop,Cardigans,Tops,Sweaters & Knits,Cardigans,Tops > Sweaters & Knits > Cardigans,"A versatile cardigan from KULE. It is cut from knit fabric, in a check print, finished with a v-neck neckline. Styled for everyday.",XS,Camel/Ermine,#CDB086,Tan,"[{""hex"":""#CDB086"",""label"":""Camel"",""shade"":""Mid"",""family"":""Tan"",""coverage"":1.0,""role"":""primary""}]",USD,298,149,298,149,298,149,Camel/Ermine,XS,1,2020-10-04T15:53:10+00:00,Tan,XS,Knit,Check,Everyday,V-Neck,Long,Cuffed,,,,,,,,,Button,,the-liam-cardigan.jpg
53,Tie Dye Slouchy Crop Shirt,Pam & Gela,Shopbop,Crop Tops,Tops,Crop Tops,,Tops > Crop Tops,"This versatile crop top by Pam & Gela is a closet staple. It is cut from cotton fabric, in blue tie dye, finished with a crew neckline. Styled for everyday.",S,Blue Tie Dye,#2A52B4,Blue,"[{""hex"":""#2A52B4"",""label"":""Blue Tie Dye"",""shade"":""Mid"",""family"":""Blue"",""coverage"":1.0,""role"":""primary""}]",USD,115,57.5,115,57.5,115,57.5,Blue Tie Dye,S,1,2020-04-24T14:27:26+00:00,Blue,S,Cotton,,Everyday,Crew,Long,,Cropped,,,,,,,,,,tie-dye-slouchy-crop-shirt.jpg
54,Toucan Paradise Romper,FARM Rio,Shopbop,Rompers,Jumpsuits,Rompers,,Jumpsuits > Rompers,"A polished romper from FARM Rio. It is cut from cotton fabric, in a floral print, finished with a collared neckline. Styled for vacation.",XS,Multi,#257E43,Green,"[{""hex"":""#257E43"",""label"":""Multi"",""shade"":""Mid"",""family"":""Green"",""coverage"":0.653,""role"":""primary""},{""hex"":""#F192B4"",""label"":""Pink"",""shade"":""Mid"",""family"":""Pink"",""coverage"":0.253,""role"":""accent""},{""hex"":""#CB2629"",""label"":""Red"",""shade"":""Mid"",""family"":""Red"",""coverage"":0.095,""role"":""accent""}]",USD,220,110,220,110,220,110,Multi,XS,1,2021-06-07T17:12:36+00:00,Multi,XS,Cotton,Floral,Vacation,Collared,Long,,Short,Mid,,,,,,,Button,,toucan-paradise-romper.jpg
55,Tulum Skirt,Just BEE Queen,Shopbop,Wrap,Bottoms,Skirts,Wrap,Bottoms > Skirts > Wrap,"A structured wrap bottoms from Just BEE Queen. It is cut from stretchy fabric, in black, sleeveless sleeves. Styled for weekend.",S,Black,#1F241A,Black,"[{""hex"":""#1F241A"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,295,147.5,295,147.5,295,147.5,Black,S,1,2021-06-07T17:12:36+00:00,Black,XL,Stretchy,Solid,Weekend,,Sleeveless,,Midi,High,Regular (30 in - 33 in),,,,,,,,tulum-skirt.jpg
56,Votes for Women Mug,Shopbop @Home,Shopbop,Home,Home,,,Home,This understated home by Shopbop @Home is a closet staple. It is in a graphic print.,One Size,White/Gold,#C9A341,Gold,"[{""hex"":""#C9A341"",""label"":""Gold"",""shade"":""Mid"",""family"":""Gold"",""coverage"":0.721,""role"":""primary""},{""hex"":""#F5FFF8"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":0.279,""role"":""accent""}]",USD,26,13,26,13,26,13,White/Gold,One Size,1,2020-11-02T19:02:36+00:00,Gold,,,Graphic,,,,,,,,,,,,,,,votes-for-women-mug.jpg
57,W 3 Pack Classic Canoodle Socks,Vans,Shopbop,Sneakers,Footwear,Sneakers,,Footwear > Sneakers,"Vans' easy-wearing take on the sneaker. It is cut from stretchy fabric, in a check print. Styled for everyday.",One Size,White-Black,#FAFDF7,White,"[{""hex"":""#FAFDF7"",""label"":""White-Black"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,14,7,14,7,14,7,White-Black,One Size,1,2021-03-11T17:53:45+00:00,White,,Stretchy,Check,Everyday,,,,,,,,,,,,,,w-3-pack-classic-canoodle-socks.jpg
58,Wasini Skirt,Mie,Shopbop,Wrap,Bottoms,Skirts,Wrap,Bottoms > Skirts > Wrap,"A refined wrap bottoms from Mie. It is cut from cotton fabric, in black, sleeveless sleeves. Styled for everyday.",XS,Black,#191F15,Black,"[{""hex"":""#191F15"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,205,205,205,205,205,205,Black,XS,1,2024-02-01T20:41:26+00:00,Black,XS,Cotton,Solid,Everyday,,Sleeveless,,Midi,Mid,,,,,,,,,wasini-skirt.jpg
